Name,NGC,GC Location,GC Location Source,Num Oost Types,Num Oost Sources,Oost Type,Mean RRab Period,Mean RRab Period Source,Mean RRc Period,Mean RRc Period Source,Metalicity,Metalicity Source,# RRab,# RRab Source
,F2,Fornax dSph,"Sollima, 2014",1,1,I,0.574,"Sollima, 2014",,,-1.83,"Sollima, 2014",,
,F3,Fornax dSph,"Sollima, 2014",1,1,Oo-Int,0.606,"Sollima, 2014",,,-2.04,"Sollima, 2014",,
,F4,Fornax dSph,"Sollima, 2014",1,1,Oo-Int,0.6,"Sollima, 2014",,,-1.9,"Sollima, 2014",,
,NGC 362,Milky Way,"Jang, 2015",1,2,I,0.585,"Jang, 2015",0.365,"Jang, 2015",-1.26,"Jang, 2015",21,"Kunder, 2013"
,NGC 1851,Milky Way,"Jang, 2015",1,4,I,0.571,"Clement, 2001",0.311,"Jang, 2015",-1.22,"Clement, 2001",19,"Kunder, 2013"
,NGC 2419,Milky Way,"Jang, 2015",1,3,II,0.655,"Clement, 2001",0.367,"Jang, 2015",-2.12,"Clement, 2001",28,"Kunder, 2013"
,NGC 2808,Milky Way,"Jang, 2015",1,1,I,0.563,"Jang, 2015",0.3,"Jang, 2015",-1.14,"Jang, 2015",6,"Kunder, 2013"
M92,NGC 6341,Milky Way,"Jang, 2015",1,4,II,0.63,"Clement, 2001",0.356,"Jang, 2015",-2.29,"Clement, 2001",11,"Kunder, 2013"
,NGC 6426,Milky Way,"Jang, 2015",1,3,II,0.704,"Jang, 2015",0.332,"Jang, 2015",-2.15,"Jang, 2015",8,"Kunder, 2013"
M28,NGC 6626,Milky Way,"Jang, 2015",1,1,I,0.577,"Jang, 2015",0.312,"Jang, 2015",-1.32,"Jang, 2015",8,"Kunder, 2013"
,NGC 6712,Milky Way,"Jang, 2015",1,1,I,0.557,"Jang, 2015",0.338,"Jang, 2015",-1.02,"Jang, 2015",7,"Kunder, 2013"
,NGC 6723,Milky Way,"Jang, 2015",1,1,I,0.541,"Clement, 2001",0.292,"Jang, 2015",-1.12,"Clement, 2001",15,"Kunder, 2013"
M55,NGC 6809,Milky Way,"Jang, 2015",2,3,Conflicted,0.662,"Jang, 2015",0.34,"Jang, 2015",-1.94,"Jang, 2015",4,"Kunder, 2013"
M75,NGC 6864,Milky Way,"Jang, 2015",2,3,Conflicted,0.587,"Jang, 2015",0.305,"Jang, 2015",-1.29,"Jang, 2015",8,"Kunder, 2013"
M30,NGC 7099,Milky Way,"Jang, 2015",1,1,II,0.693,"Jang, 2015",,,-2.27,"Jang, 2015",,
,NGC 2298,Milky Way,"Clement, 2001",1,1,II,,,,,,,,
,NGC 6366,Milky Way,"Clement, 2001",1,1,I,,,,,,,,
,NGC 288,Milky Way,"Clement, 2001",1,1,II,,,,,,,,
M79,NGC 1904,Milky Way,"Clement, 2001",1,2,II,,,,,-1.58,"Kunder, 2013",6,"Kunder, 2013"
,NGC 7492,Milky Way,"Clement, 2001",1,1,II,,,,,,,,
,NGC 1835,Magellanic Clouds,"Soszyński, 2016",1,1,Oo-Int,,,,,-1.79,"Clementini, 2004",,
